ID_SUCURSAL;ID_NOMBRE_SUCURSAL;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;NODO;LAT_NODO;LONG_NODO;ABONO_MENSUAL;Moneda;CPE_ARSAT;CPE_PROPONENTE;Moneda ;TIEMPO_IMPLEMENTACION;MARCA_CPE;MODELO_CPE;COSTO_CPE;VERIF_CARGA;CUIT;RAZON_SOCIAL;DTO_GLOBAL;;
3343;Santa Maria;BmÈ. Mitre 489;-26,694;-66,04973;Santa Maria;Catamarca;Santa Maria;-26,698689;-66,041042;150,00;USD;250,00;1.720,00;USD;15;CISCO;CBS220-8T-E-2G;1470;Carga correcta;33564365349;COOPERATIVA TELEFONICA SANTA MARIA LIMITADA;;;
3343;Santa Maria;BmÈ. Mitre 489;-26,694;-66,04973;Santa Maria;Catamarca;Santa Maria;-26,698689;-66,041042;474,33;USD;1.500,00;2.350,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
1106;Avda. 25 De Mayo;Avda. 25 De Mayo 1298;-27,44087;-58,998197;Resistencia;Chaco;Resistencia;-27,45595;-58,987239;350,00;USD;4.000,00;5.000,00;USD;25;8-Port Gigabit L2 Managed Switch, 8 Gigabit RJ45 Ports,2 SFP ;Ethernet Smart Switch con 8x Gigabit +  4x bahias SFP;1000;Carga correcta;30709473839;Comytel S.A.;;;
1095;Arroyito;Avda. Fulvio A. Pagani 809;-31,42266;-63,04641;Arroyito;CÛrdoba;Arroyito;-31,415964;-63,044611;180,00;USD;650,00;1.300,00;USD;90;MIKROTIK;CCR2004-16G-2S+;650;Carga correcta;23288366659;CHIARAVIGLIO RAUL FABIO;;;
1640;Cruz Del Eje;Alvear 508;-30,721049;-64,806011;Cruz Del Eje;CÛrdoba;Cruz Del Eje;-30,7242056;-64,8005583;474,33;USD;1.500,00;2.350,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
1985;Hernando;San MartÌn Esq. Chile;-32,427617;-63,734061;Hernando;CÛrdoba;Hernando Ciudad;-32,422836;-63,738783;138,00;USD;350,00;350,00;USD;5;Huawei;HG8247H5;150;Carga correcta;30545745794;Cooperativa de Obras, Servicios Publicos y Sociales de Hernando Ltda.;;;
1013;Anexo Operativo Goya;Gral. Manuel Belgrano 850;-29,142654;-59,265527;Goya;Corrientes;Goya;-29,1608419;-59,249276;146,00;USD;5.480,00;5.745,00;USD;70;Mikrotik;RB 760 IGS HEX S;193;Carga correcta;30716550849;CORRIENTES TELECOMUNICACIONES SAPEM;5†%;;
1210;Bella Vista (Ctes);Salta 1098;-28,507042;-59,043338;Bella Vista;Corrientes;Bella Vista;-28,517925;-59,0373611;146,00;USD;6.520,00;7.003,00;USD;60;Mikrotik;RB 760 IGS HEX S;193;Carga correcta;30716550849;CORRIENTES TELECOMUNICACIONES SAPEM;5†%;;
1630;Corrientes;9 De Julio 1298;-27,466586;-58,83556;Corrientes;Corrientes;Corrientes;-27,4738916;-58,8535194;250,00;USD;2.000,00;3.000,00;USD;20;8-Port Gigabit L2 Managed Switch, 8 Gigabit RJ45 Ports,2 SFP ;Ethernet Smart Switch con 8x Gigabit +  4x bahias SFP;1000;Carga correcta;30709473839;Comytel S.A.;;;
1630;Corrientes;9 De Julio 1298;-27,466586;-58,83556;Corrientes;Corrientes;Corrientes;-27,4738916;-58,8535194;146,00;USD;719,00;970,00;USD;20;Mikrotik;RB 760 IGS HEX S;193;Carga correcta;30716550849;CORRIENTES TELECOMUNICACIONES SAPEM;5†%;;
1750;Esquina (Ctes);BmÈ. Mitre 501;-30,018069;-59,532874;Esquina;Corrientes;Esquina;-30,01525;-59,5284444;390,00;USD;4.000,00;5.000,00;USD;20;8-Port Gigabit L2 Managed Switch, 8 Gigabit RJ45 Ports,2 SFP ;Ethernet Smart Switch con 8x Gigabit +  4x bahias SFP;1000;Carga correcta;30709473839;Comytel S.A.;;;
1750;Esquina (Ctes);BmÈ. Mitre 501;-30,018069;-59,532874;Esquina;Corrientes;Esquina;-30,01525;-59,5284444;600,00;USD;500,00;0,00;USD;8;0;0;0;Carga correcta;30708682337;WIRCOM ARGENTINA;;;
1960;Goya;Belgrano 898;-29,143147;-59,265769;Goya;Corrientes;Goya;-29,1608419;-59,249276;146,00;USD;5.480,00;5.745,00;USD;70;Mikrotik;RB 760 IGS HEX S;193;Carga correcta;30716550849;CORRIENTES TELECOMUNICACIONES SAPEM;5†%;;
3340;Santa Lucia;Belgrano 1002;-28,989523;-59,101092;Santa Lucia;Corrientes;Santa Lucia;-28,9743678;-59,0988896;146,00;USD;1.265,00;1.795,00;USD;40;Mikrotik;RB 760 IGS HEX S;193;Carga correcta;30716550849;CORRIENTES TELECOMUNICACIONES SAPEM;5†%;;
;;;;;Goya;Corrientes;;;;95,00;;;756,25;;;;ver presupuesto en PDF;;Falta campo obligatorio;30716804034;Gowigo Sas;;;
1023;Anexo Operativo Parana;EspaÒa 42;-31,732456;-60,532011;Parana;Entre Rios;Parana;-31,7401972;-60,5343917;135,00;USD;0,00;150,00;USD;15;FIBERHOME;HG6145D2;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1023;Anexo Operativo Parana;EspaÒa 42;-31,732456;-60,532011;Parana;Entre Rios;Parana;-31,7401972;-60,5343917;275,00;USD;987,95;1.427,19;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1235;Bovril;H.Yrigoyen 91;-31,3422;-59,44711;Bovril;Entre Rios;Bovril;-31,34015;-59,4337194;135,00;USD;0,00;150,00;USD;15;HUAWEI;ECHOLIFE EG8143A5;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1235;Bovril;H.Yrigoyen 91;-31,3422;-59,44711;Bovril;Entre Rios;Bovril;-31,34015;-59,4337194;275,00;USD;4.595,84;5.035,08;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1420;Chajari;Sarmiento 2699;-30,758331;-57,979885;Chajari;Entre Rios;Chajari;-30,7557444;-57,9885056;135,00;USD;0,00;150,00;USD;15;HUAWEI;HG8247H5;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1420;Chajari;Sarmiento 2699;-30,758331;-57,979885;Chajari;Entre Rios;Chajari;-30,7557444;-57,9885056;275,00;USD;2.620,34;3.059,58;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1550;Concepcion Del Uruguay;EspaÒa 49 Y San MartÌn;-32,48575;-58,23391;Concepcion Del Uruguay;Entre Rios;Concepcion Del Uruguay;-32,4844639;-58,25335;135,00;USD;0,00;150,00;USD;15;MIKROTIK;hEX PoE RB960PGS;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1550;Concepcion Del Uruguay;EspaÒa 49 Y San MartÌn;-32,48575;-58,23391;Concepcion Del Uruguay;Entre Rios;Concepcion Del Uruguay;-32,4844639;-58,25335;275,00;USD;2.825,15;3.264,39;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1550;Concepcion Del Uruguay;EspaÒa 49 Y San MartÌn;-32,48575;-58,23391;Concepcion Del Uruguay;Entre Rios;Concepcion Del Uruguay;-32,4844639;-58,25335;525,00;USD;0,00;250,00;USD;15;Mikrotik;RB960pgs;250;Carga correcta;33710196139;Urunet Srl;;;
1560;Concordia;Carlos Pellegrini 651;-31,39691;-58,01651;Concordia;Entre Rios;Concordia;-31,3816583;-58,0183056;135,00;USD;0,00;150,00;USD;15;HUAWEI;HG8145V5;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1560;Concordia;Carlos Pellegrini 651;-31,39691;-58,01651;Concordia;Entre Rios;Concordia;-31,3816583;-58,0183056;275,00;USD;2.326,71;2.765,95;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1638;Crespo;San MartÌn 1031;-33,010284;-58,519404;Crespo;Entre Rios;Gualeguaychu;-33,0121694;-58,5335194;135,00;USD;0,00;150,00;USD;15;HUAWEI;HG8147X6;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1638;Crespo;San MartÌn 1031;-33,010284;-58,519404;Crespo;Entre Rios;Gualeguaychu;-33,0121694;-58,5335194;275,00;USD;8.950,08;9.389,32;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1670;Diamante;Gral. Dr. Pascual Echag¸e 350;-32,067156;-60,641956;Diamante;Entre Rios;Diamante;-32,0716778;-60,6323222;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1670;Diamante;Gral. Dr. Pascual Echag¸e 350;-32,067156;-60,641956;Diamante;Entre Rios;Diamante;-32,0716778;-60,6323222;275,00;USD;667,03;1.106,26;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1970;Gualeguay;San Antonio 52;-33,14764;-59,312224;Gualeguay;Entre Rios;Gualeguay;-33,1319361;-59,3171583;135,00;USD;0,00;150,00;USD;15;CDATA;FD512XW;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1970;Gualeguay;San Antonio 52;-33,14764;-59,312224;Gualeguay;Entre Rios;Gualeguay;-33,1319361;-59,3171583;275,00;USD;804,98;1.244,22;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1980;Gualeguaychu;25 De Mayo Y Alberdi;-33,009374;-58,517239;Gualeguaychu;Entre Rios;Gualeguaychu;-33,0121694;-58,5335194;135,00;USD;0,00;150,00;USD;15;DIGISTAR;GRG-31110;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
1980;Gualeguaychu;25 De Mayo Y Alberdi;-33,009374;-58,517239;Gualeguaychu;Entre Rios;Gualeguaychu;-33,0121694;-58,5335194;275,00;USD;1.802,92;2.242,16;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2160;La Paz (Er);San MartÌn 901;-30,741199;-59,644604;La Paz;Entre Rios;La Paz;-30,73535;-59,6342361;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2160;La Paz (Er);San MartÌn 901;-30,741199;-59,644604;La Paz;Entre Rios;La Paz;-30,73535;-59,6342361;275,00;USD;768,91;1.208,15;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2290;Lucas Gonzalez;Avda.SoberanÌa 295;-32,385398;-59,532326;Lucas Gonzalez;Entre Rios;Lucas Gonzalez;-32,3888056;-59,5287722;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2290;Lucas Gonzalez;Avda.SoberanÌa 295;-32,385398;-59,532326;Lucas Gonzalez;Entre Rios;Lucas Gonzalez;-32,3888056;-59,5287722;275,00;USD;2.273,02;2.712,26;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2360;Maria Grande;Avda. Argentina 405;-31,662749;-59,905392;Maria Grande;Entre Rios;Maria Grande;-31,6641639;-59,8993361;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2360;Maria Grande;Avda. Argentina 405;-31,662749;-59,905392;Maria Grande;Entre Rios;Maria Grande;-31,6641639;-59,8993361;275,00;USD;1.744,82;2.184,06;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2560;Nogoya;San MartÌn 800;-32,397157;-59,787984;Nogoya;Entre Rios;Nogoya;-32,3955083;-59,7825694;135,00;USD;0,00;150,00;USD;15;GLC TEC;GLC-V2802GW;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2560;Nogoya;San MartÌn 800;-32,397157;-59,787984;Nogoya;Entre Rios;Nogoya;-32,3955083;-59,7825694;275,00;USD;927,29;1.366,53;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2650;Parana;San MartÌn 1000;-31,720848;-60,525806;Parana;Entre Rios;Parana;-31,7401972;-60,5343917;135,00;USD;0,00;150,00;USD;15;FIBERHOME;HG6145D2;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2650;Parana;San MartÌn 1000;-31,720848;-60,525806;Parana;Entre Rios;Parana;-31,7401972;-60,5343917;275,00;USD;1.224,75;1.663,98;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
2860;Ramirez;Avda. San MartÌn 312;-32,174793;-60,199078;Gral. Ramirez;Entre Rios;General Ramirez;-32,1691944;-60,1995278;135,00;USD;0,00;150,00;USD;15;HUAWEI;HG8145V5;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
2860;Ramirez;Avda. San MartÌn 312;-32,174793;-60,199078;Gral. Ramirez;Entre Rios;General Ramirez;-32,1691944;-60,1995278;275,00;USD;2.953,21;3.392,45;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3030;Rosario Del Tala;R. S. PeÒa 300 Y Alte. Brown;-32,301208;-59,139866;Rosario Del Tala;Entre Rios;Rosario Del Tala;-32,3029444;-59,1311333;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3030;Rosario Del Tala;R. S. PeÒa 300 Y Alte. Brown;-32,301208;-59,139866;Rosario Del Tala;Entre Rios;Rosario Del Tala;-32,3029444;-59,1311333;275,00;USD;1.247,65;1.686,89;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3310;San Salvador;3 De Febfrero Y San MartÌn;-31,625568;-58,504751;San Salvador;Entre Rios;San Salvador;-31,6243056;-58,5151111;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNC0C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3310;San Salvador;3 De Febfrero Y San MartÌn;-31,625568;-58,504751;San Salvador;Entre Rios;San Salvador;-31,6243056;-58,5151111;275,00;USD;837,17;1.276,41;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3442;Sucursal ElectrÛnica Parana;La Paz 5 ¬Äì Edificio ¬Äåsolar Del Plaza‚Äù Pb Local 6;-31,728639;-60,528194;Paran„Å;Entre Rios;Parana;-31,7401972;-60,5343917;135,00;USD;0,00;150,00;USD;15;FIBERHOME;HG6145D2;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3442;Sucursal ElectrÛnica Parana;La Paz 5 ¬Äì Edificio ¬Äåsolar Del Plaza‚Äù Pb Local 6;-31,728639;-60,528194;Paran„Å;Entre Rios;Parana;-31,7401972;-60,5343917;275,00;USD;1.307,62;1.746,86;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3620;Urdinarrain;E.Podest· 202;-32,684248;-58,893098;Urdinarrain;Entre Rios;Urdinarrain;-32,6788333;-58,8918611;135,00;USD;0,00;150,00;USD;15;KINGTYPE;GPNF04C;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3620;Urdinarrain;E.Podest· 202;-32,684248;-58,893098;Urdinarrain;Entre Rios;Urdinarrain;-32,6788333;-58,8918611;275,00;USD;2.884,25;3.323,48;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3680;Victoria;Italia 452;-32,622357;-60,156375;Victoria;Entre Rios;Victoria;-32,630175;-60,1462556;135,00;USD;0,00;150,00;USD;15;SUPREME;FXAC00953;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3680;Victoria;Italia 452;-32,622357;-60,156375;Victoria;Entre Rios;Victoria;-32,630175;-60,1462556;275,00;USD;4.828,78;5.268,02;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
3770;Villaguay;B. Mitre 402;-31,867235;-59,027427;Villaguay;Entre Rios;Villaguay;-31,8636889;-59,0348611;135,00;USD;0,00;150,00;USD;15;HUAWEI;ECHOLIFE EG8143A5;0;Carga correcta;30707745017;Cooperativa Entrerriana de Provision de Servicios de Comunicaciones LTDA.;10†%;;
3770;Villaguay;B. Mitre 402;-31,867235;-59,027427;Villaguay;Entre Rios;Villaguay;-31,8636889;-59,0348611;275,00;USD;877,40;1.316,64;USD;60;Mikrotik;RB960pgs;439,2375;Carga correcta;30709176672;ENER S.A.;5†%;;
1035;Aimogasta;9 De Julio 521;-28,554483;-66,814127;Aimogasta;La Rioja;Aimogasta;-28,5667278;-66,798025;474,33;USD;1.000,00;1.850,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
1425;Chamical;Avda.R. V. PeÒalosa Esq. N.M.Ayan;-30,359397;-66,314225;Chamical;La Rioja;Chamical;-30,3670833;-66,3125278;474,33;USD;1.000,00;1.850,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
1453;Chepes;Avda. San MartÌn Y Castro Barros;-31,342165;-66,59381;Chepes;La Rioja;Chepes;-31,3445667;-66,5768861;474,33;USD;1.500,00;2.350,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
2200;La Rioja;Pelagio B.Luna 699;-29,412397;-66,858017;La Rioja;La Rioja;La Rioja;-29,4262278;-66,8732639;474,33;USD;2.000,00;2.850,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
3832;Villa Union;J. V. Gonz·lez N∞ 1;-29,318219;-68,228155;Villa Union;La Rioja;Villa Union;-29,314181;-68,218968;474,33;USD;1.000,00;1.850,00;USD;15;MikroTik ;RB5009UG+S+IN C/SFP ++;850;Carga correcta;30716161141;GESTION INTEGRAL DE PROYECTOS S.A.S.;5% y 3%;;
1012;Centro De Recaudacion Mendoza;Avda. L. Peltier 793;-32,899187;-68,851229;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;1.511,90;USD;0,00;6.615,00;USD;20;Huawei;ar6140s;6615;Carga correcta;20271269472;DestÈfani Jose Luis;20†%;;
1012;Centro De Recaudacion Mendoza;Avda. L. Peltier 793;-32,899187;-68,851229;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;280,00;USD;380,00;500,00;USD;30;MikroTik;RB760iGS;121;Carga correcta;30708839627;Servicargas Mendoza SA;3†%;;
1012;Centro De Recaudacion Mendoza;Avda. L. Peltier 793;-32,899187;-68,851229;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;72,60;USD;75,00;130,00;USD;15;HUAWEI;EchoLife HG8245W5;55;Carga correcta;30708243201;WAYCOM SA;;;
1094;Anexo Operativo San Rafael;25 De Mayo 242;-34,617322;-68,336258;San Rafael;Mendoza;San Rafael;-34,6315472;-68,3438472;302,50;USD;250,00;500,00;USD;1;Mikrotik ;RB760iGS;250;Carga correcta;30611064604;CABLE TELEVISORA COLOR SA;5†%;;
1099;Avda. San Martin (Mza);Avda. San MartÌn Y Gutierrez (Mza);-32,888309;-68,839045;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;1.511,90;USD;0,00;6.615,00;USD;20;Huawei;ar6140s;6615;Carga correcta;20271269472;DestÈfani Jose Luis;20†%;;
1099;Avda. San Martin (Mza);Avda. San MartÌn Y Gutierrez (Mza);-32,888309;-68,839045;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;280,00;USD;380,00;500,00;USD;30;MikroTik;RB760iGS;121;Carga correcta;30708839627;Servicargas Mendoza SA;3†%;;
1099;Avda. San Martin (Mza);Avda. San MartÌn Y Gutierrez (Mza);-32,888309;-68,839045;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;72,60;USD;75,00;130,00;USD;15;HUAWEI;EchoLife HG8245W5;55;Carga correcta;30708243201;WAYCOM SA;;;
1102;Avda. Alvear Oeste;Avda. Alvear Oeste 295;-34,974296;-67,683787;Gral. Alvear;Mendoza;General Alvear;-34,9812778;-67,6727417;302,50;USD;250,00;500,00;USD;1;Mikrotik ;RB760iGS;250;Carga correcta;30611064604;CABLE TELEVISORA COLOR SA;5†%;;
1236;Bowen;B. Mitre 704;-35,000648;-67,511126;Bowen;Mendoza;Bowen;-34,9928611;-67,5123611;302,50;USD;250,00;500,00;USD;1;Mikrotik ;RB760iGS;250;Carga correcta;30611064604;CABLE TELEVISORA COLOR SA;5†%;;
1753;Eugenio Bustos;B. Quiroga Y Gral. Arenales;-33,779221;-69,064369;Eugenio Bustos;Mendoza;Eugenio Bustos;-33,7741806;-69,060025;72,60;USD;75,00;130,00;USD;15;HUAWEI;EchoLife HG8245W5;55;Carga correcta;30708243201;WAYCOM SA;;;
1830;Gral. Alvear;Avda. Alvear Oeste 310;-34,977918;-67,693484;Gral. Alvear;Mendoza;General Alvear;-34,9812778;-67,6727417;302,50;USD;250,00;500,00;USD;1;Mikrotik ;RB760iGS;250;Carga correcta;30611064604;CABLE TELEVISORA COLOR SA;5†%;;
2077;Jose V. Zapata;JosÈ Vicente Zapata Y San Juan;-32,895354;-68,837993;Mendoza;Mendoza;Mendoza;-32,8831528;-68,828325;1.511,90;USD;0,00;6.615,00;USD;20;Huawei;ar6140s;6615;Carga correcta;20271269472;DestÈfani Jose Luis;20†%;;
